TT,Ten_don_vi,Ten_mo_xa,Dia_chi_huyen_cu,Loai_KS,So_GP,Ngay_cap,Ngay_het_han,Dien_tich_ha,Co_quan_cap,Ghi_chu,CS_m3,CS_tan,Hien_trang,Nop_TKM,TB_GDDH_mo,Ban_giao_moc,Tram_can,Camera,Ky_quy_PHMT,QD_thue_dat,GP_KT_nuoc,GPMT,GP_VLN
68,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái ,"Mông Sơn VIB, xã Mông Sơn (làm nguyên liệu xi măng)","Xã Yên Bình, Tỉnh Lào Cai",Đá vôi trắng,2943/GP-BTNMT,21/12/2016,21/12/2045,6.5,Bộ cấp,,,383160,"Đang KT 
(theo BC 176/BC-STNMT ngày 15/6/2021)",a,a,a,,,,a,,,
69,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái ,"Mỏ đá vôi Tây Bắc 
Mông Sơn","Xã Yên Bình, Tỉnh Lào Cai",Đá vôi trắng,318/GP-BTNMT,28/03/2006,28/09/2029,13.17,Bộ cấp,,,528000,Đang KT,a,a,a,a,,a,a,,,a
71,Công ty Cổ phần Xi măng Yên Bình,"Mỏ đá hoa Mông Sơn 1, xã Mông Sơn","Xã Yên Bình, Tỉnh Lào Cai",Đá vôi trắng,1058/GP-BTNMT,10/08/2006,10/08/2035,20.4,Bộ cấp,,,1085710,Đang KT,a,a,a,,,a,a,,,a
72,Công ty Cổ phần Xi măng Yên Bình,Mỏ đá sét xã Hợp Minh và xã Giới Phiên (gia hạn),,Sét SX xi măng,79/GP-BTNMT,14/03/2024,14/03/2033,13.52,Bộ cấp,,,293600,Đang KT,a,a,a,,,a,a,,,
73,Công ty Cổ phần xuất nhập khẩu và chuyển giao công nghệ Thái Thịnh,"Mỏ đá vôi trắng Đào Lâm, TT. Yên Thế"," Xã Lục Yên, Tỉnh Lào Cai, Việt Nam",Đá vôi trắng,866/GP-BTNMT,16/05/2011,16/05/2040,7.27,Bộ cấp,,17566,105103,Đang KT,a,a,a,,,a,a,,,a
74,Công ty Cổ phần Yên Phú,"Mỏ chì-kẽm Cang Chi Khúa, xã Xà Hồ (cấp lại) nay là xã Hạnh Phúc","Tổ 04, Phường Nghĩa Lộ, Tỉnh Lào Cai, Việt Nam",Chì - kẽm,3160/GP-UBND,17/12/2019,17/12/2028,1.49,Tỉnh cấp,,,3500,Đang KT,a,a,a,a,,,a,,,
75,Công ty Liên doanh Canxi cacbonat YBB,Mỏ đá vôi Mông Sơn II (cấp lại),"Phường Văn Phú, Lào Cai",Đá vôi trắng,991/GP-BTNMT,03/05/2017,03/05/2031,13.39,Bộ cấp,,,719320,Đang KT,a,a,a,a,a,a,a,,,a
76,Công ty Phát triển Số 1 - TNHH 1TV,Làng Mỵ xã Chấn Thịnh và Bình Thuận nay là xã Chấn Thịnh và xã Nghĩa Tâm,"Khu 2 Bích Nhôi, Phường Nhị Chiểu, Thành phố Hải Phòng, Việt Nam",Quặng sắt,2026/GP-BTNMT,10/10/2008,10/10/2038,60.97,Bộ cấp,,,100000,Đang KT,a,a,a,,,a,a,,,a
77,Công ty Phát triển Số 1 - TNHH 1TV,"Làng Mỵ 2, xã Nghĩa Tâm và xã Bình Thuận nay là xã Chấn Thịnh và xã Nghĩa Tâm",,Quặng sắt,107/GP-BTNMT,17/02/2025,17/02/2039,29.31,Bộ cấp,,,100000,Chưa KT,,,,,,,,,,
78,Công ty Phát triển Số 1 - TNHH 1TV,"Làng Mỵ 1, xã Chấn Thịnh và Bình Thuận nay là xã Chấn Thịnh và xã Nghĩa Tâm",,Quặng sắt,40/GP-BTNMT,15/01/2025,15/01/2052,39.91,Bộ cấp,,,120000,Chưa KT,,,,,,,,,,
79,Công ty Phát triển Số 1 - TNHH 1TV,"Trung Sơn, xã Mông Sơn",,Đá vôi trắng,1681/GP-BTNMT,26/08/2008,26/03/2036,10,Bộ cấp,,,457300,Đang KT,a,a,a,,,a,a,,,
80,Công ty sản xuất đá Granit TNHH,"Đá hoa Đam Đình, xã Vĩnh Lạc","Xã Vĩnh Lạc, Lào Cai",Đá vôi trắng,1343/GP-BTNMT,30/07/2010,30/07/2040,75,Bộ cấp,,296600,1920282,"Dừng KT 
(Theo CV số 01-10/TB-GRA ngày 07/10/2022, do chất lượng kém)",a,a,a,,,a,a,,,a
81,Công ty TNHH Á Châu,Xã Lương Thịnh,Trấn Yên,Quặng sắt,1541/GP-UBND,22/09/2010,22/09/2022,43.2,Tỉnh cấp,Hết hạn,,47872,Đang KT,a,a,a,,,a,a,,,
82,Công ty TNHH An Lộc Phát (trước đây là Cổ phần),"Đá vôi Vực Tuần 1, xã Cát Thịnh",Văn Chấn ,Đá làm VLXDTT,36/GP-UBND,10/01/2014,10/01/2044,5,Tỉnh cấp,,45000,,"Chưa KT
(vướng mắc do liên quan đến rừng tự nhiên theo BC số 45/BC-STNMT ngày 23/02/2021)",,,a,,,,,,,
83,Công ty TNHH Đá cẩm thạch An Phú,"Đá hoa Nam núi Khau Ca, xã An Phú","Thôn Khau Ca, Xã Mường Lai, Tỉnh Lào Cai",Đá vôi trắng,313/GP-BTNMT,16/02/2016,16/02/2046,16.1,Bộ cấp,,80725,346136,Đang KT,a,a,a,,,a,a,,,
84,Công ty TNHH Đá cẩm thạch R.K Việt Nam ,"Cốc Há II, TT. Yên Thế và xã Liễu Đô","Xã Lục Yên, Lào Cai",Đá vôi trắng,1237/GP-BTNMT,27/06/2011,27/06/2041,42.4,Bộ cấp,,166406,458773.3333333333,Đang KT,a,a,a,a,a,a,a,a,,
85,Công ty TNHH Đại Đồng Tiến,Đá vôi xã Đồng Khê,"Phường Yên Bái, Lào Cai",Đá làm VLXDTT,412/GP-UBND,24/04/2012,24/04/2042,9.7,Tỉnh cấp,,90000,,Đang KT,a,a,a,a,a,a,a,,,
86,Công ty TNHH Đại Hoàng Long,"Đá hoa Cốc Há I, thị trấn Yên Thế","Xã Lục Yên, Lào Cai",Đá vôi trắng,300/GP-BTNMT,04/02/2016,04/02/2036,5.3,Bộ cấp,,43200,124549,Đang KT,a,a,a,a,,,a,,,
88,Công ty TNHH Đồng Tiến,"Đá vôi Mỹ Gia 5, xã Mỹ Gia","Xã Yên Bình, Lào Cai ",Đá làm VLXDTT,2797/GP-UBND,18/11/2019,15/08/2028,2.66,Tỉnh cấp,,40000,,Đang KT,a,a,a,,,a,a,,,a
89,Công ty TNHH Hải Thành,"Tiên Tinh - Núi Léc, xã Tân Thịnh (chuyển nhượng)",Văn Chấn ,Quặng sắt,229/GP-UBND ,05/02/2016,16/08/2022,43,Tỉnh cấp,Hết hạn,,95000,Đang KT (Năm 2022 BC có sản lượng KT),a,a,a,,,a,a,,,
90,Công ty TNHH Hoàng Đại Thành,"Mông Sơn VI, xã Mông Sơn","Xã Yên Bình, Lào Cai ",Đá vôi trắng,1161/GP-BTNMT,19/05/2015,19/05/2045,7.08,Bộ cấp,,,120000,Chưa KT (vướng mắc chuyển đổi rừng),,a,a,,,,,,,
91,Công ty TNHH Hồng Anh Bảo An,"Đá vôi Làng Mường, xã Tô Mậu","Xã Lục Yên, Lào Cai",Đá làm VLXDTT,83/GP-UBND,18/01/2019,18/01/2030,2,Tỉnh cấp,,50000,,Đang KT,a,a,a,,,,a,,,
92,Công ty TNHH Hợp tác Cơ Khí,"Sài Lương, xã Nậm Búng",Văn Chấn,Quặng sắt,977/GP-UBND,30/06/2011,30/12/2023,3.5,Tỉnh cấp,Hết hạn,,10000,"Dừng KT 
(theo yêu cầu của UBND tỉnh để hoàn thiện thủ tục thuê đất)",a,a,a,,,a,,,,
93,Công ty TNHH HTQ Yên Bái,"Đá vôi Gốc Sấu, xã Đại Sơn (gia hạn)","Thôn Đoàn Kết, Xã Tân Hợp, Tỉnh Lào Cai, Việt Nam",Đá làm VLXDTT,230/GP-UBND,23/02/2023,06/09/2027,0.84,Tỉnh cấp,,15000,,Đang KT,a,a,a,,a,,,,,
94,Công ty TNHH Hưng Thắng,"Làng Khuôn, xã An Thịnh",Văn Yên ,Quặng sắt,898/GP-UBND,27/06/2007,27/06/2010,2.3,Tỉnh cấp,Hết hạn,,7000,Dừng KT; Đề nghị ĐCM,,,,,,,,,,
95,Công ty TNHH Hưng Thắng,"Km24 xã Hưng Khánh, xã Hưng Thịnh và xã Lương Thịnh",Trấn Yên ,Quặng sắt,1240/GP-UBND,24/08/2007,24/08/2017,61.8,Tỉnh cấp,Hết hạn,,80000,"Dừng XDCB;
Chưa KT",a,a,a,,,,a,,,
96,Công ty TNHH Huy Hoàng Lục Yên,Đá vôi xã Minh Xuân (cấp lại),"Thôn Xuân Yên, Xã Minh Xuân, Huyện Lục Yên, Tỉnh Yên Bái, Việt Nam",Đá làm VLXDTT,413/GP-UBND,24/04/2012,24/04/2040,2.3,Tỉnh cấp,,20000,,Đang KT,a,a,a,,,a,a,,,a
97,Công ty TNHH Khai thác và Chế biến đá Tường Phú,"Liễu Đô 4, xã Liễu Đô","Tổ dân phố 13, Xã Lục Yên, Tỉnh Lào Cai",Đá vôi trắng,1264/GP-BTNMT,30/06/2011,30/06/2041,49.8,Bộ cấp,,226568,921750,Đang KT,a,a,a,a,,a,a,,22/GPMT-BTNMT ngày 26/01/2024,
98,Công ty TNHH Khai thác và Chế biến đá Việt Long ,"Liễu Đô 2, xã Liễu Đô và xã Minh Tiến","Xã Mường Lai, Lào Cai",Đá vôi trắng,1263/GP-BTNMT,30/06/2011,30/06/2041,39.6,Bộ cấp,,176461,556559,Đang KT,a,a,a,a,,a,a,,,
99,Công ty TNHH Lâm Trường An,"Điểm cát, sỏi sông Chảy, xã Tô Mậu, xã Minh Chuẩn và xã Tân Lĩnh (khu vực trúng đấu giá, chuyển nhượng)",Lục Yên,"Cát, sỏi",2708/GP-UBND,02/12/2021,30/07/2029,10.2,Tỉnh cấp,,32000,,Đang KT,a,a,a,,,a,a,,,
100,Công ty TNHH Linh Huy Hoàng,"02 điểm cát sông Hồng, xã Giới Phiên (chuyển nhượng, gia hạn)",Yên Bái,"Cát, sỏi",2249/GP-UBND,13/11/2024,01/12/2027,3.1,Tỉnh cấp,,17500,,Chưa KT,a,a,a,,,a,a,,,
101,Công ty TNHH Lương Việt Yên Bái ,"Đá vôi Thôn 2, xã Phong Dụ Hạ",Văn Yên,Đá làm VLXDTT,1607/GP-UBND,06/10/2010,06/10/2040,5.237,Tỉnh cấp,,42500,,Đang KT,a,a,a,,,a,a,,,a
102,Công ty TNHH Mạnh Lâm Yên Bái,02 điểm cát sông Hồng xã Y Can (chuyển nhượng),Trấn Yên,"Cát, sỏi",399/GP-UBND ,10/03/2017,28/05/2030,18.4,Tỉnh cấp,,12000,,Đang KT,a,a,a,,,a,a,,,
103,Công ty TNHH Mạnh Lâm Yên Bái,"Trực Bình, xã Minh Bảo (KT tận thu)",Yên Bái,Felspat,2170/GP-UBND,21/09/2020,21/09/2025,0.26,Tỉnh cấp,Hết hạn,,6500,Đang KT (theo số liệu sản lượng CT cung cấp),a,-,a,,,,a,,,
104,Công ty TNHH Minh Phú,"Điểm cát sông Hồng thôn 4, xã Giới Phiên",Yên Bái,"Cát, sỏi",1640/GP-UBND ,07/10/2010,07/10/2025,14,Tỉnh cấp,Hết hạn,20000,,Đang KT,,a,a,,,a,a,,,
105,Công ty TNHH Một thành viên  Khai thác và Chế biến khoáng sản Thạch Sơn,02 điểm thạch anh Nậm Cưởm - Nậm Pươi xã Nậm Búng nay là xã Gia Hội,"Xã Gia Hội, Lào Cai",Thạch anh,945/GP-UBND,30/06/2011,30/06/2027,8,Tỉnh cấp,,6000,,"Chưa KT
(ĐangXDCB; vướng mắc do liên quan đến rừng tự nhiên theo BC số 45/BC-STNMT ngày 23/02/2021)",a,a,a,,,,,,,
106,Công ty TNHH Nam Phát,"Đá vôi Vực Tuần, xã Cát Thịnh",Văn Chấn,Đá làm VLXDTT,3005/GP-UBND,02/12/2020,02/12/2047,5.9,Tỉnh cấp,,48000,,Chưa KT,,,,,,,,,,
107,Công ty TNHH Nhất Linh Yên Bái ,"Làng Phát, xã Châu Quế Hạ (KT tận thu)",Văn Yên,Quặng sắt,2183/GP-UBND,14/11/2014,14/11/2017,0.2,Tỉnh cấp,Hết hạn,,5000,Dừng KT,a,-,a,,,,,,,
108,Công ty TNHH Quảng Phát,"Trung Thành, xã Minh Tiến","Xã Mường Lai, Lào Cai",Đá vôi trắng,198/GP-BTNMT,19/02/2009,19/02/2039,7.98,Bộ cấp,,48600,280800,"Dừng KT
(Tại VB số 74-CV/CTQP ngày 10/8/2023; VB số 59-CV/CTQP ngày 06/8/2024)",a,a,a,,,a,,,,
109,Công ty TNHH Quảng Phát,"Đá vôi Bản Thắm, xã Thượng Bằng La","Xã Mường Lai, Lào Cai",Đá làm VLXDTT,2117/GP-UBND,16/09/2020,16/09/2044,2.4,Tỉnh cấp,,14000,,"Chưa KT
(đang XDCB)",,a,a,,,,,,,
110,Công ty TNHH SX&TM Chân Thiện Mỹ,"Làng Lạnh II, xã Liễu Đô","Xã Lục Yên, Lào Cai",Đá vôi trắng,809/GP-BTNMT,04/05/2010,04/05/2040,35.7,Bộ cấp,,89640,827750,Đang KT,a,a,a,,,a,a,,,
111,Công ty TNHH Tân Tiến,"Yên Bình, xã Hưng Thịnh (cấp lại)","Xã Lương Thịnh, Lào Cai",Quặng sắt,912/GP-UBND,28/06/2011,28/12/2039,15,Tỉnh cấp,,,30000,Đang KT,a,a,a,,,a,a,,,
112,Công ty TNHH Tập đoàn Graphite Việt Nam,Xã Yên Thái,"Xã Trấn Yên, Lào Cai",Grafit,1429/GP-BTNMT,17/07/2014,17/07/2026,11,Bộ cấp,,,250000,Đang KT,a,a,a,,,a,a,,,
113,Công ty TNHH Thương mại Cửu Phú,Xã Vĩnh Lạc và xã Minh Tiến,Lục Yên ,Đá vôi trắng,1317/GP-BTNMT,26/07/2010,26/07/2040,21.95,Bộ cấp,,145908,418079,Chưa KT,a,a,a,,,,,,,
114,Công ty TNHH Tuyên Huy,"Mỏ chì-kẽm Núi Ngàng, xã Cảm Nhân",Yên Bình,Chì - kẽm,1766/GP-UBND,22/10/2007,22/10/2009,12,Tỉnh cấp,Hết hạn,,3000,Dừng KT; Đang xin cấp lại,,,,,,,,,,
115,Công ty TNHH Xây dựng - Thương mại Phan Xi Păng,"Đồng Phú, thị trấn Yên Thế (trước đây là xã Yên Thắng)",Lục Yên ,Đá vôi trắng,2122/GP-BTNMT,20/12/2007,20/12/2027,2.18,Bộ cấp,,15000,50000,Đang KT,a,a,a,,,a,a,,,
116,Công ty TNHH Xây dựng công trình và Thương mại  Nam Linh,"Mỏ đá vôi Hang Dơi, 
xã Minh Quán",Trấn Yên ,Đá làm VLXDTT,575/GP-UBND,29/12/2006,29/12/2008,2,Tỉnh cấp,Hết hạn,10000,,Dừng KT; Đề nghị ĐCM,,,,,,,,,,
117,Công ty TNHH Xây dựng sản xuất và Thương mại Hùng Đại Sơn,"Đá hoa Bản Nghè, xã Yên Thắng","Xã Lục Yên, Lào Cai",Đá vôi trắng,2965/GP-BTNMT,20/11/2019,20/11/2049,12.4,Bộ cấp,,30000,425600,Đang KT,a,a,a,a,,,a,,,
118,Công ty TNHH Xây dựng sản xuất và Thương mại Hùng Đại Sơn,Đá vôi xã Vĩnh Lạc (khu vực trúng đấu giá),"Xã Lục Yên, Lào Cai",Đá làm VLXDTT,665/GP-UBND,25/04/2022,24/04/2049,3.7,Tỉnh cấp,,72000,,Đang KT,a,a,a,a,,,,,,
119,Công ty TNHH Xây dựng và Thương mại Ngọc Thanh,Xã Hưng Thịnh,Trấn Yên,Quặng sắt,400/GP-UBND,23/04/2012,23/10/2022,6.6,Tỉnh cấp,Hết hạn,,10000,Đang KT,a,a,a,,,,a,,,
120,Doanh nghiệp tư nhân Dịch vụ sản xuất trồng rừng 327,"Đá hoa Thôn 3 Nà Hà, xã An Phú","Xã Yên Bình, Lào Cai ",Đá vôi trắng,98/GP-BTNMT,05/06/2020,05/06/2050,11.95,Bộ cấp,,2110,262000,Đang KT,a,a,a,,,,a,,,
121,Doanh nghiệp tư nhân Hùng Loan,"Giàng Chải, xã Nậm Búng",Văn Chấn ,Quặng sắt,418/GP-UBND,11/03/2008,11/09/2012,9.5,Tỉnh cấp,Hết hạn,,60000,Dừng KT,,,,,,a,a,,,a
122,Doanh nghiệp tư nhân Than Đá Suối Bắc,"Đá vôi Huổi Quẻ, xã Phù Nham","Tổ dân phố Cầu Thia, Phường Trung Tâm, Tỉnh Lào Cai, Việt Nam",Đá làm VLXDTT,1182/GP-UBND,15/06/2020,15/06/2045,2.6,Tỉnh cấp,,40000,,Đang KT,a,a,a,,,,a,,,
123,Doanh nghiệp tư nhân Thành Hương Nghĩa Lộ,"Đá vôi Thôn 13, xã Đồng Khê","Thôn Bản Hốc, Xã Văn Chấn, Tỉnh Lào Cai, Việt Nam",Đá làm VLXDTT,2596/GP-UBND,24/12/2014,24/06/2043,4,Tỉnh cấp,,40000,,Đang KT,a,a,a,a,,a,a,,,
124,Hợp tác xã Dịch vụ tổng hợp Đầm Mỏ,"Điểm cát sông Hồng, xã Văn Phú",Yên Bái,"Cát, sỏi",206/GP-UBND,03/02/2016,03/02/2033,4,Tỉnh cấp,,5000,,Đang KT,a,a,a,,,a,a,,,
125,Hợp tác xã Dịch vụ Tổng hợp Hoàng Thắng,"03 điểm cát, sỏi sông Hồng, xã Mậu Đông, xã Đông Cuông",Văn Yên ,"Cát, sỏi",906/GP-UBND,28/06/2011,28/12/2025,20.1,Tỉnh cấp,Hết hạn,24139,,Đang KT,a,a,a,,,a,a,,,
126,Hợp tác xã Dịch vụ Tổng hợp Hương Giang,"04 điểm cát, sỏi sông Hồng xã Mậu Đông, xã Yên Hợp, TT. Mậu A",Văn Yên ,"cát, sỏi",1926/GP-UBND,11/12/2013,11/12/2032,7,Tỉnh cấp,,5000,,Đang KT,a,a,a,,,a,a,,,
127,Hợp tác xã Dịch vụ Tổng hợp Tú Lệ,"03 điểm sắt, xã Nậm Búng và xã Gia Hội",Văn Chấn ,Quặng sắt,946/GP-UBND,30/06/2011,30/06/2025,49.8,Tỉnh cấp,Hết hạn,,34000,Dừng KT (Dừng từ năm 2016; VB số 10/CV-HTX ngày 21/9/2020),a,a,a,,,,a,,,a
128,Hợp tác xã Khai Minh,"Cát, sỏi sông Hồng, xã Tuy Lộc (chuyển nhượng)",Yên Bái,"Cát, sỏi",49/GP-UBND,13/01/2016,17/01/2030,7.5,Tỉnh cấp,,10000,,Đang KT,a,a,a,,,a,a,,,
129,Hợp tác xã Khai Minh,"02 điểm cát, sỏi sông Hồng, xã Báo Đáp và xã Thành Thịnh",Trấn Yên,"Cát, sỏi",2846/GP-UBND,01/11/2016,01/05/2035,2,Tỉnh cấp,,3542,,Đang KT,a,a,a,,,a,a,,,
130,Hợp tác xã Khai thác Chế biến đá vôi Thượng Bằng La,Mỏ đá vôi xã Thượng Bằng La (cấp lại),"hôn Thắm, Xã Thượng Bằng La, Tỉnh Lào Cai, Việt Nam",Đá làm VLXDTT,392/GP-UBND,19/04/2012,19/10/2041,4.5,Tỉnh cấp,,36700,,Đang KT,a,a,a,,,a,a,,,a
131,Hợp tác xã Khai thác đá vôi và Vật liệu xây dựng Bó Luông,"Mỏ đá vôi Làng Mường 2, xã Tô Mậu (cấp lại)","Xã Lục Yên, Lào Cai",Đá làm VLXDTT,1501/GP-UBND,25/07/2016,25/01/2028,4.6,Tỉnh cấp,,35000,,Đang KT,a,a,a,,,a,a,,,a
132,Hợp tác xã Khai thác Khoáng sản Vũ Toàn,"Quặng đồng Làng Phát, xã Châu Quế Hạ ","tổ 10, Phường Yên Bái, Lào Cai",Quặng đồng,2341/GP-BTNMT,28/09/2017,28/09/2032,14.4,Bộ cấp,,,20600,"Chưa KT
(Đang XDCB)",a,-,a,,,,,,,
133,Hợp tác xã Khai thác sản xuất Dịch vụ Vật liệu xây dựng Hợp Nhất,"Thôn 2 và Thôn 3, TT. Cổ Phúc",Trấn Yên ,Đất làm gạch,848/GP-UBND,20/06/2011,20/06/2036,1.2,Tỉnh cấp,,3750,,Dừng KT,a,,,,,,a,,,
134,Hợp tác xã Khai thác sản xuất Dịch vụ Vật liệu xây dựng Hợp Nhất,"05 điểm cát, sỏi sông Hồng thuộc các xã: Báo Đáp, Quy Mông, Thành Thịnh và Y Can",Trấn Yên,"Cát, sỏi",1051/GP-UBND,17/06/2015,17/06/2033,10.5,Tỉnh cấp,,20000,,Đang KT,a,a,a,,,a,a,,,
135,Hợp tác xã Phú Quang,"Điểm cát, sỏi sông Chảy, xã Tô Mậu",Lục Yên,"Cát, sỏi",173/GP-UBND,11/02/2022,11/02/2027,0.27,Tỉnh cấp,,2700,,Chưa KT,a,,a,,,,,,,
136,Hợp tác xã Suối Quyền,02 điểm than nâu xã Suối Quyền nay là xã Sơn Lương,"Phường Trung Tâm, Tỉnh Lào Cai, Việt Nam",Than,1092/GP-UBND,29/06/2018,29/11/2029,4.77,Tỉnh cấp,,,1200,Chưa KT,a,a,a,,,,,,,
137,Hợp tác xã Văn Thịnh,"Đá vôi Khe Thắm, xã Thượng Bằng La (cấp lại)","Thôn Ba Khe, Xã Cát Thịnh, Lào Cai",Đá làm VLXDTT,139/GP-UBND,20/01/2017,20/07/2033,2.07,Tỉnh cấp,,30000,,Đang KT,a,a,a,a,,a,a,,,
138,Công ty Cổ phần Đầu tư Khoáng sản Tây Bắc,"Quặng vàng gốc Tú Lệ 3, xã Tú Lệ",Văn Chấn,Vàng,992/GP-UBND,30/06/2011,30/12/2015,6.02,Tỉnh cấp,Hết hạn,,20800,Chưa KT (Bị Sở KH&ĐT TP. Hà Nội thu hồi Giấy CNĐKKD tai QĐ ngày 19/12/2017),,,,,,,,,,
139,Công ty Cổ phần Đầu tư Khoáng sản Tây Bắc,"Quặng vàng gốc Tú Lệ 2, xã Tú Lệ",Văn Chấn,Vàng,991/GP-UBND,30/06/2011,30/12/2015,6,Tỉnh cấp,Hết hạn,,13260,Chưa KT (Bị Sở KH&ĐT TP. Hà Nội thu hồi Giấy CNĐKKD tai QĐ ngày 19/12/2017),,,,,,,,,,
140,Công ty Cổ phần Khai thác và Chế biến khoáng sản Vũ Gia Yên Bái,"Đá hoa tại các khu vực Phan Thanh 1 và Phan Thanh 2 thuộc xã Tân Lĩnh, tỉnh Lào Cai","Thôn Hợp Nhất, Xã Yên Bình, Tỉnh Lào Cai",Đá vôi trắng,482/GP-BNNMT,12/11/2055,12/11/2055,Bộ cấp,Bộ cấp,100000,10070,100000,,,,,,,,,,,
1,Công ty TNHH MTV Apatit Việt Nam,"Mỏ Cóc 1, xã Tả Phời - TP Lào Cai "," Đại lộ Trần Hưng Đạo, Tổ 19 Bắc Cường, Phường Cam Đường, Lào Cai",Apatit,1793/GP-BTNMT,26/07/2017,26/07/2035,78.1,Bộ cấp,,,200000,,,,,,,,,,,
